tempo;regiao_de_saude_de_notificacao;residencia_nut_iii;doenca_de_declaracao_obrigatoria;sexo;grupo_etario;no_de_casos_notificados
2016-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2018-08;Regiao de Saude LVT;Oeste;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;45-54 anos;1
2016-12;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca de Lyme (Borreliose);Feminino;55-64 anos;1
2016-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;15-24 anos;3
2016-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Tosse Convulsa;Masculino;<1 ano;1
2016-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca invasiva meningococica;Masculino;1-4 anos;1
2016-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;15-24 anos;3
2018-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite B;Masculino;65-74 anos;1
2018-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;15-24 anos;1
2016-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Malaria;Masculino;45-54 anos;1
2016-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Tosse Convulsa;Masculino;<1 ano;1
2018-09;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2018-09;Regiao de Saude LVT;Area Metropolitana de Lisboa;Campilobacteriose;Masculino;1-4 anos;1
2017-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sarampo;Feminino;45-54 anos;1
2017-04;Regiao de Saude do Centro;Regiao de Coimbra;Febre Q;Masculino;55-64 anos;1
2017-04;Regiao de Saude Norte;Ave;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;1
2017-04;Regiao de Saude Norte;Tamega e Sousa;Doenca invasiva por Haemophilus influenzae;Feminino;75 ou + anos;1
2017-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite A;Masculino;25-34 anos;2
2018-10;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;15-24 anos;1
2017-04;Regiao de Saude do Centro;Regiao de Aveiro;Hepatite A;Masculino;15-24 anos;1
2017-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sarampo;Feminino;25-34 anos;1
2017-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite A;Feminino;25-34 anos;1
2018-10;Regiao de Saude Norte;Ave;Doenca de Lyme (Borreliose);Masculino;55-64 anos;1
2018-10;Regiao de Saude Norte;Cavado;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2017-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Campilobacteriose;Masculino;5-14 anos;1
2017-05;Regiao de Saude LVT;Oeste;Salmoneloses nao Typhi e nao Paratyphi;Masculino;35-44 anos;1
2018-10;Regiao de Saude do Centro;Beiras e Serra da Estrela;Febre Q;Masculino;45-54 anos;1
2017-05;Regiao de Saude LVT;Leziria do Tejo;Listeriose;Feminino;65-74 anos;1
2017-05;Regiao de Saude do Centro;Beiras e Serra da Estrela;Salmoneloses nao Typhi e nao Paratyphi;Masculino;45-54 anos;1
2017-05;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;15-24 anos;1
2017-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Brucelose;Masculino;45-54 anos;1
2018-10;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;45-54 anos;1
2017-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Salmoneloses nao Typhi e nao Paratyphi;Feminino;65-74 anos;1
2017-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Tosse Convulsa;Feminino;<1 ano;1
2018-10;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite B;Masculino;25-34 anos;1
2017-05;RA Madeira;Regiao Autonoma da Madeira;Sifilis - Excluindo Sifilis Congenita;Feminino;35-44 anos;1
2017-05;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;<1 ano;1
2017-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;15-24 anos;1
2017-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;25-34 anos;1
2018-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Campilobacteriose;Masculino;1-4 anos;1
2017-05;Regiao de Saude LVT;Medio Tejo;Febre Q;Masculino;75 ou + anos;1
2017-05;Regiao de Saude Norte;Area Metropolitana do Porto;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;45-54 anos;1
2018-08;Regiao de Saude do Alentejo;Baixo Alentejo;Febre escaro-nodular (Rickettsiose);Masculino;5-14 anos;1
2018-08;Regiao de Saude do Centro;Regiao de Aveiro;Campilobacteriose;Masculino;<1 ano;1
2016-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Parotidite Epidemica;Feminino;5-14 anos;1
2016-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Parotidite Epidemica;Masculino;25-34 anos;1
2018-09;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;65-74 anos;1
2018-09;Regiao de Saude Norte;Ave;Hepatite B;Masculino;75 ou + anos;1
2018-09;Regiao de Saude do Centro;Regiao de Coimbra;Sifilis - Excluindo Sifilis Congenita;Feminino;55-64 anos;1
2017-01;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;15-24 anos;1
2017-01;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;15-24 anos;1
2017-01;Regiao de Saude Norte;Area Metropolitana do Porto;Salmoneloses nao Typhi e nao Paratyphi;Masculino;1-4 anos;1
2018-09;Regiao de Saude do Alentejo;Baixo Alentejo;Doenca dos Legionarios;Feminino;75 ou + anos;1
2018-09;Regiao de Saude LVT;Leziria do Tejo;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2017-01;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite A;Masculino;25-34 anos;1
2018-09;Regiao de Saude LVT;Area Metropolitana de Lisboa;Shigelose;Feminino;1-4 anos;1
2017-01;Regiao de Saude Norte;Tamega e Sousa;Hepatite C;Masculino;25-34 anos;1
2018-10;Regiao de Saude LVT;Area Metropolitana de Lisboa;Campilobacteriose;Masculino;<1 ano;1
2017-01;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;15-24 anos;1
2018-06;Regiao de Saude LVT;Oeste;Gonorreia;Masculino;15-24 anos;1
2018-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite B;Masculino;5-14 anos;1
2017-01;Regiao de Saude do Centro;Beiras e Serra da Estrela;Hepatite A;Masculino;15-24 anos;1
2017-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca invasiva pneumococica;Masculino;45-54 anos;1
2017-02;Regiao de Saude LVT;Leziria do Tejo;Hepatite C;Feminino;45-54 anos;1
2017-02;Regiao de Saude LVT;Leziria do Tejo;Hepatite C;Feminino;55-64 anos;1
2018-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis Congenita;Feminino;<1 ano;1
2018-12;Regiao de Saude LVT;Regiao Autonoma da Madeira;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;25-34 anos;1
2014-12;Regiao de Saude Norte;Area Metropolitana do Porto;Botulismo;Masculino;35-44 anos;1
2014-12;Regiao de Saude LVT;Medio Tejo;Doenca de Creutzfeldt-Jakob;Feminino;65-74 anos;1
2017-02;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite A;Masculino;25-34 anos;1
2014-12;Regiao de Saude Norte;Douro;Doenca dos Legionarios;Feminino;55-64 anos;1
2014-12;Regiao de Saude Norte;Tamega e Sousa;Doenca dos Legionarios;Feminino;65-74 anos;1
2017-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;35-44 anos;1
2017-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca invasiva pneumococica;Feminino;65-74 anos;1
2017-03;RA Acores;Regiao Autonoma dos cores;Hepatite C;Feminino;45-54 anos;1
2017-03;Regiao de Saude Norte;Tamega e Sousa;Gonorreia;Masculino;55-64 anos;1
2014-12;Regiao de Saude do Centro;Regiao de Coimbra;Febre Q;Masculino;25-34 anos;1
2014-12;Regiao de Saude Norte;Area Metropolitana do Porto;Febre Tifoide e Paratifoide;Feminino;1-4 anos;1
2017-03;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca invasiva pneumococica;Masculino;45-54 anos;1
2017-03;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca invasiva meningococica;Masculino;15-24 anos;1
2014-12;Regiao de Saude LVT;Oeste;Infeca畫s Gonococicas (Gonorreia);Masculino;15-24 anos;3
2017-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Malaria;Masculino;25-34 anos;1
2017-03;Regiao de Saude Norte;Tamega e Sousa;Hepatite B;Masculino;35-44 anos;1
2014-12;Regiao de Saude do Centro;Regiao de Coimbra;Parotidite Epidemica;Masculino;5-14 anos;1
2017-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Leptospirose;Masculino;1-4 anos;1
2017-03;Regiao de Saude LVT;Oeste;Hepatite C;Feminino;45-54 anos;1
2017-03;Regiao de Saude Norte;Tamega e Sousa;Parotidite Epidemica;Masculino;15-24 anos;1
2017-03;Regiao de Saude Norte;Ave;Sifilis - Excluindo Sifilis Congenita;Feminino;45-54 anos;1
2014-12;Regiao de Saude Norte;Tamega e Sousa;Salmoneloses nao Typhi e nao Paratyphi;Feminino;5-14 anos;3
2017-03;RA Acores;Regiao Autonoma dos cores;Leptospirose;Masculino;55-64 anos;1
2014-12;Regiao de Saude do Centro;Regiao de Aveiro;Sifilis - Excluindo Sifilis Congenita;Feminino;25-34 anos;2
2017-06;Regiao de Saude do Algarve;Algarve;Salmoneloses nao Typhi e nao Paratyphi;Masculino;75 ou + anos;1
2014-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;17
2014-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;75 ou + anos;1
2014-12;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Feminino;55-64 anos;3
2017-06;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;45-54 anos;1
2014-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis excluindo a Sifilis Congenita;Feminino;55-64 anos;1
2018-10;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;15-24 anos;1
2017-06;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca invasiva pneumococica;Feminino;75 ou + anos;1
2018-11;Regiao de Saude do Centro;Regiao de Leiria;Doenca dos Legionarios;Masculino;65-74 anos;1
2018-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2017-06;Regiao de Saude LVT;Area Metropolitana de Lisboa;Tosse Convulsa;Feminino;<1 ano;2
2018-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;35-44 anos;1
2018-11;Regiao de Saude Norte;Alto Minho;Hepatite C;Masculino;45-54 anos;1
2018-11;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite B;Masculino;25-34 anos;1
2018-11;RA Madeira;Regiao Autonoma da Madeira;Hepatite C;Masculino;25-34 anos;2
2018-11;Regiao de Saude do Centro;Regiao de Leiria;Doenca dos Legionarios;Masculino;65-74 anos;1
2018-11;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite B;Masculino;65-74 anos;1
2018-11;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;15-24 anos;1
2018-11;Regiao de Saude do Alentejo;Baixo Alentejo;Leishmaniose Visceral;Feminino;5-14 anos;1
2018-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sarampo;Masculino;<1 ano;1
2018-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;75 ou + anos;1
2018-11;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca dos Legionarios;Feminino;75 ou + anos;1
2018-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;35-44 anos;1
2018-11;Regiao de Saude do Centro;Estrangeiro;Campilobacteriose;Feminino;5-14 anos;1
2018-11;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2018-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;25-34 anos;1
2018-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;25-34 anos;1
2018-12;Regiao de Saude do Centro;Regiao de Aveiro;Hepatite C;Masculino;55-64 anos;1
2018-12;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;25-34 anos;1
2018-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Feminino;25-34 anos;1
2018-12;Regiao de Saude LVT;Oeste;Sifilis - Excluindo Sifilis Congenita;Masculino;15-24 anos;1
2018-12;Regiao de Saude Norte;Cavado;Parotidite Epidemica;Masculino;1-4 anos;1
2018-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;15-24 anos;2
2018-12;RA Madeira;Regiao Autonoma da Madeira;Hepatite B;Feminino;35-44 anos;1
2014-12;Estrangeiro;Estrangeiro;Leptospirose;Feminino;65-74 anos;1
2014-12;Regiao de Saude do Alentejo;Alentejo Litoral;Malaria;Masculino;35-44 anos;1
2014-12;Regiao de Saude Norte;Tamega e Sousa;Malaria;Masculino;15-24 anos;1
2014-12;Regiao de Saude do Centro;Viseu Dao Lafoes;Parotidite Epidemica;Feminino;5-14 anos;1
2018-12;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;35-44 anos;1
2018-12;Regiao de Saude do Centro;Regiao de Leiria;Hepatite C;Masculino;55-64 anos;1
2018-12;Regiao de Saude Norte;Cavado;Parotidite Epidemica;Masculino;15-24 anos;1
2016-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;2
2016-03;Regiao de Saude do Centro;Regiao de Coimbra;Tosse Convulsa;Masculino;5-14 anos;1
2016-03;Regiao de Saude Norte;Tamega e Sousa;Campilobacteriose;Masculino;5-14 anos;1
2016-03;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca invasiva pneumococica;Masculino;<1 ano;1
2016-03;RA Madeira;Regiao Autonoma da Madeira;Malaria;Feminino;45-54 anos;1
2016-03;Regiao de Saude do Alentejo;Baixo Alentejo;Tosse Convulsa;Feminino;<1 ano;1
2016-03;Regiao de Saude do Centro;Regiao de Coimbra;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;2
2016-03;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Feminino;45-54 anos;1
2016-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;1
2016-03;Regiao de Saude do Algarve;Algarve;Brucelose;Masculino;45-54 anos;1
2016-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Malaria;Feminino;45-54 anos;1
2016-03;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite C;Masculino;55-64 anos;3
2016-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;25-34 anos;3
2016-03;Regiao de Saude Norte;Tamega e Sousa;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2016-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Feminino;25-34 anos;1
2016-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Salmoneloses nao Typhi e nao Paratyphi;Masculino;1-4 anos;1
2016-04;Regiao de Saude do Centro;Regiao de Aveiro;Tosse Convulsa;Masculino;<1 ano;1
2016-04;RA Madeira;Regiao Autonoma da Madeira;Sifilis - Excluindo Sifilis Congenita;Feminino;15-24 anos;1
2016-04;Regiao de Saude LVT;Oeste;Salmoneloses nao Typhi e nao Paratyphi;Feminino;5-14 anos;1
2016-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Febre Tifoide e Paratifoide;Masculino;35-44 anos;1
2016-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite A;Feminino;45-54 anos;1
2016-04;Regiao de Saude do Centro;Regiao de Aveiro;Sifilis - Excluindo Sifilis Congenita;Feminino;35-44 anos;1
2016-04;Regiao de Saude do Centro;Beiras e Serra da Estrela;Doenca invasiva por Haemophilus influenzae;Masculino;75 ou + anos;1
2016-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Malaria;Masculino;25-34 anos;1
2016-04;Regiao de Saude Norte;Area Metropolitana do Porto;Salmoneloses nao Typhi e nao Paratyphi;Masculino;5-14 anos;1
2016-04;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca dos Legionarios;Feminino;65-74 anos;1
2016-04;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite C;Masculino;35-44 anos;1
2016-04;Regiao de Saude Norte;Alto Minho;Parotidite Epidemica;Feminino;45-54 anos;1
2016-04;Regiao de Saude do Algarve;Algarve;Sifilis - Excluindo Sifilis Congenita;Masculino;75 ou + anos;1
2016-04;Regiao de Saude Norte;Terras de Tras-os-Montes;Hepatite B;Masculino;45-54 anos;1
2016-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite C;Masculino;55-64 anos;1
2016-04;Regiao de Saude do Centro;Regiao de Coimbra;Tosse Convulsa;Masculino;5-14 anos;1
2016-04;Regiao de Saude do Centro;Regiao de Aveiro;Malaria;Masculino;25-34 anos;1
2016-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Feminino;15-24 anos;1
2016-04;Regiao de Saude Norte;Area Metropolitana do Porto;Tosse Convulsa;Feminino;<1 ano;1
2016-05;Regiao de Saude Norte;Douro;Doenca invasiva por Haemophilus influenzae;Masculino;75 ou + anos;1
2016-05;Regiao de Saude LVT;Oeste;Gonorreia;Masculino;35-44 anos;1
2016-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite B;Masculino;25-34 anos;1
2016-05;RA Acores;Regiao Autonoma dos cores;Hepatite C;Masculino;35-44 anos;1
2016-05;Regiao de Saude Norte;Area Metropolitana do Porto;Malaria;Masculino;55-64 anos;1
2016-05;Regiao de Saude Norte;Area Metropolitana do Porto;Tosse Convulsa;Feminino;1-4 anos;1
2016-05;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite B;Masculino;55-64 anos;1
2016-05;Regiao de Saude do Alentejo;Alentejo Central;Sifilis - Excluindo Sifilis Congenita;Feminino;75 ou + anos;1
2015-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;45-54 anos;1
2015-08;Regiao de Saude Norte;Alentejo Central;Gonorreia;Masculino;25-34 anos;2
2015-08;Regiao de Saude LVT;Alentejo Central;Gonorreia;Feminino;25-34 anos;2
2015-08;Regiao de Saude do Centro;Regiao de Aveiro;Parotidite Epidemica;Masculino;15-24 anos;1
2015-08;Regiao de Saude Norte;Area Metropolitana do Porto;Febre escaro-nodular (Rickettsiose);Masculino;45-54 anos;1
2015-08;Regiao de Saude Norte;Douro;Doenca de Lyme (Borreliose);Masculino;55-64 anos;1
2015-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite A;Masculino;25-34 anos;1
2015-08;Regiao de Saude do Centro;Viseu Dao Lafoes;Febre escaro-nodular (Rickettsiose);Feminino;55-64 anos;2
2015-08;Regiao de Saude Norte;Alto Minho;Gonorreia;Masculino;45-54 anos;1
2015-09;Regiao de Saude Norte;Regiao de Aveiro;Malaria;Masculino;45-54 anos;1
2015-09;Regiao de Saude do Centro;Regiao de Leiria;Brucelose;Feminino;55-64 anos;1
2015-09;Regiao de Saude Norte;Regiao de Aveiro;Parotidite Epidemica;Masculino;1-4 anos;1
2015-09;Regiao de Saude do Alentejo;Alto Alentejo;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2015-09;Regiao de Saude LVT;Baixo Alentejo;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;1
2015-09;Regiao de Saude LVT;Alentejo Central;Gonorreia;Masculino;15-24 anos;1
2015-09;Regiao de Saude do Centro;Regiao de Aveiro;Malaria;Feminino;25-34 anos;1
2015-09;Regiao de Saude do Centro;Regiao de Aveiro;Parotidite Epidemica;Masculino;1-4 anos;1
2015-09;Regiao de Saude LVT;Regiao de Aveiro;Tosse Convulsa;Masculino;<1 ano;1
2015-09;Regiao de Saude Norte;Regiao de Aveiro;Malaria;Masculino;55-64 anos;1
2015-09;Regiao de Saude do Centro;Regiao de Aveiro;Doenca invasiva pneumococica;Masculino;55-64 anos;1
2015-09;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2015-09;Regiao de Saude do Centro;Regiao de Aveiro;Tosse Convulsa;Masculino;<1 ano;1
2015-09;Regiao de Saude Norte;Regiao de Aveiro;Tosse Convulsa;Feminino;5-14 anos;1
2015-09;Regiao de Saude LVT;Regiao de Aveiro;Salmoneloses nao Typhi e nao Paratyphi;Masculino;5-14 anos;1
2015-09;Regiao de Saude Norte;Tamega e Sousa;Doenca dos Legionarios;Masculino;75 ou + anos;1
2015-09;Regiao de Saude do Centro;Regiao de Aveiro;Doenca dos Legionarios;Masculino;65-74 anos;1
2015-10;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;15-24 anos;2
2015-10;Regiao de Saude Norte;Regiao de Aveiro;Salmoneloses nao Typhi e nao Paratyphi;Masculino;<1 ano;1
2015-10;Regiao de Saude LVT;Regiao de Aveiro;Doenca invasiva pneumococica;Masculino;15-24 anos;1
2015-10;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2015-10;Regiao de Saude do Alentejo;Baixo Alentejo;Doenca dos Legionarios;Masculino;45-54 anos;1
2015-10;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Feminino;25-34 anos;1
2015-10;Regiao de Saude Norte;Alentejo Central;Gonorreia;Feminino;15-24 anos;1
2015-10;Regiao de Saude do Alentejo;Regiao de Aveiro;Malaria;Masculino;25-34 anos;1
2015-10;Regiao de Saude LVT;Regiao de Aveiro;Doenca invasiva meningococica;Masculino;<1 ano;1
2015-10;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;15-24 anos;1
2015-10;Regiao de Saude Norte;Regiao de Aveiro;Salmoneloses nao Typhi e nao Paratyphi;Feminino;1-4 anos;1
2015-10;Regiao de Saude Norte;Ave;Sifilis - Excluindo Sifilis Congenita;Feminino;45-54 anos;1
2015-10;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Feminino;1-4 anos;1
2015-10;Regiao de Saude LVT;Area Metropolitana de Lisboa;Leptospirose;Masculino;45-54 anos;1
2015-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2015-11;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;75 ou + anos;1
2015-11;Regiao de Saude Norte;Regiao de Aveiro;Salmoneloses nao Typhi e nao Paratyphi;Feminino;5-14 anos;1
2015-11;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Feminino;1-4 anos;1
2015-11;Regiao de Saude do Centro;Regiao de Leiria;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;1
2015-11;Regiao de Saude LVT;Leziria do Tejo;Doenca dos Legionarios;Feminino;35-44 anos;1
2015-11;Regiao de Saude LVT;Oeste;Brucelose;Masculino;55-64 anos;1
2015-11;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2015-11;Regiao de Saude do Centro;Beiras e Serra da Estrela;Febre escaro-nodular (Rickettsiose);Feminino;65-74 anos;1
2015-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca dos Legionarios;Masculino;65-74 anos;2
2015-11;Regiao de Saude do Centro;Regiao de Coimbra;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;1
2015-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2015-11;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Feminino;1-4 anos;1
2015-11;Regiao de Saude LVT;Regiao de Aveiro;Doenca invasiva pneumococica;Masculino;55-64 anos;1
2015-11;Regiao de Saude Norte;Regiao de Aveiro;Shigelose;Feminino;5-14 anos;3
2015-11;Regiao de Saude do Centro;Viseu Dao Lafoes;Febre escaro-nodular (Rickettsiose);Masculino;65-74 anos;1
2015-11;Regiao de Saude LVT;Alentejo Central;Gonorreia;Masculino;25-34 anos;1
2015-12;Regiao de Saude Norte;Regiao de Aveiro;Tosse Convulsa;Masculino;<1 ano;1
2015-12;Regiao de Saude Norte;Regiao de Aveiro;Salmoneloses nao Typhi e nao Paratyphi;Masculino;5-14 anos;1
2015-12;Regiao de Saude do Centro;Regiao de Coimbra;Doenca dos Legionarios;Masculino;25-34 anos;1
2015-12;Regiao de Saude do Centro;Regiao de Aveiro;Doenca invasiva pneumococica;Masculino;75 ou + anos;1
2015-12;Regiao de Saude Norte;Terras de Tras-os-Montes;Hepatite A;Masculino;35-44 anos;1
2015-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Feminino;25-34 anos;1
2015-12;Regiao de Saude do Algarve;Algarve;Gonorreia;Masculino;35-44 anos;1
2015-12;Regiao de Saude Norte;Regiao de Aveiro;Salmoneloses nao Typhi e nao Paratyphi;Feminino;5-14 anos;2
2015-12;RA Madeira;Regiao de Aveiro;Malaria;Masculino;35-44 anos;1
2016-01;Regiao de Saude do Centro;Regiao de Aveiro;Malaria;Masculino;35-44 anos;1
2016-01;Regiao de Saude do Centro;Regiao de Coimbra;Malaria;Masculino;35-44 anos;2
2016-01;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2015-01;Regiao de Saude LVT;Leziria do Tejo;Febre Q;Masculino;35-44 anos;1
2015-01;Regiao de Saude LVT;Area Metropolitana de Lisboa;Febre Q;Feminino;45-54 anos;1
